freq,r_insample,r_loso,r_amplitude,p_uncorrected,p_fwe,null95
0.885,0.48670722436602715,0.19923480039333885,0.3021568755029731,0.1395,0.936,0.3747885085785483
0.89,0.5064476273560031,0.2324020256688052,0.31251248575963964,0.109,0.9025,0.37715007332019007
0.895,0.5297100040654722,0.2733516933793747,0.32767266735563816,0.0875,0.859,0.3539802285357548
0.9,0.5409334144780915,0.3426503519610647,0.3444236261691101,0.0645,0.7445,0.37723768740594127
0.905,0.5355317525438339,0.32113690764942243,0.3558155167977244,0.0695,0.782,0.37746191230509385
0.91,0.5171560921407055,0.20902196681038213,0.3508605933914974,0.1335,0.926,0.3781802856060113
0.915,0.47851778378815474,0.016212584875202704,0.3246598014602435,0.2935,0.999,0.3827393745806701
0.92,0.3969542296498079,-0.31994111440974315,0.2844997697077961,0.6885,1.0,0.36891269685225614
0.925,0.22595445839244999,-0.5263223884129831,0.24083760894961231,0.8545,1.0,0.3950869677144693
0.93,0.12931948804357782,-0.47929971944644456,0.20198607413844016,0.7885,1.0,0.37967562054397336
0.935,0.321408450711584,-0.3450766475442839,0.17432327376335113,0.715,1.0,0.37937486742308385
0.94,0.3457905592147917,-0.030208676765717167,0.15627034628079667,0.3845,1.0,0.3911725366383097
0.945,0.23609033346384606,0.1091562272323437,0.14412105413016008,0.2485,0.9825,0.4087284294898041
0.95,0.2585558218285485,-0.08846999575721623,0.17592995267475486,0.523,1.0,0.38777469598853626
0.955,0.289367253120732,-0.25840324470391235,0.19008076782768674,0.691,1.0,0.3810306055178509
0.96,0.17378498997653136,-0.3159117291542167,0.17884924340742894,0.723,1.0,0.3854223343973802
0.965,0.07701060304569844,-0.35817206890650616,0.18061029328963238,0.7465,1.0,0.390580636656191
0.97,0.17941026231311866,-0.39258416966470244,0.19113221930613336,0.763,1.0,0.3919858612500624
0.975,0.25480989707044255,-0.48065176756529226,0.2092022476891099,0.8385,1.0,0.3761471303671208
0.98,0.25869202348861703,-0.07825596453120102,0.23220827532676017,0.429,1.0,0.3654907763599033
0.985,0.22847602718312718,0.027601126818820827,0.2522747626387054,0.2905,0.999,0.37240331695204737
0.99,0.3246903251623744,-0.2535796734345055,0.2548844894388545,0.7305,1.0,0.3979722579782405
0.995,0.4009243519098908,-0.17001988959478898,0.21527848949867123,0.6415,1.0,0.37849451867295897
1.0,0.31225370424666077,-0.19250523890908533,0.17215312020317652,0.6295,1.0,0.3901397427856302
1.005,0.07484865357303822,-0.23318054905061933,0.1396922104469832,0.6675,1.0,0.39379940861192053
1.01,0.169916611586614,-0.24217375661908958,0.11943607607255001,0.662,1.0,0.3880220606609879
1.015,0.29095293949527484,-0.25046751933710504,0.14308064988072136,0.6795,1.0,0.3898856696169403
1.02,0.33605158202052676,-0.20884344787468617,0.1847389475426445,0.6445,1.0,0.3893125506102989
1.025,0.3047457830568238,0.03339451393283212,0.22989161922080417,0.302,0.999,0.3960736953832316
1.03,0.22080391602223748,0.03619033195374019,0.26239395376422237,0.304,0.9985,0.39081646087337585
1.035,0.17566227932106546,-0.5830440578622967,0.25890637730087207,0.9655,1.0,0.40382380068133883
1.04,0.13037253711825578,-0.26061699621150364,0.22091746040145968,0.7255,1.0,0.3922731291824667
1.045,0.15864208448627026,-0.26397949379180446,0.1625014671038176,0.709,1.0,0.384395516468243
1.05,0.32051926314713547,-0.24664393259174844,0.12024132385058955,0.687,1.0,0.38695587222407973
1.055,0.4116437286378587,0.10864812944160522,0.13506906894173645,0.231,0.9825,0.3763245256571394
